Ano;País de Destino;Categoria de Carne;Faturamento (US$);Volume (Kg)
2024;Hong Kong;Outras Carnes e Miudezas;366119;129137
2024;Cazaquistão;Carne de Aves;365773;303780
2024;China;Outras Carnes e Miudezas;364862;478020
2024;Serra Leoa;Carne de Aves;364485;634446
2024;Antígua e Barbuda;Carne de Aves;363945;189513
2024;Angola;Carne de Aves;361965;106169
2024;Coveite (Kuweit);Carne de Aves;359864;140750
2024;Suriname;Carne de Aves;353165;130740
2024;Moçambique;Carne de Aves;344995;591839
2024;Barein;Carne de Aves;341697;137730
2024;Camboja;Carne de Aves;340090;435813
2024;Chile;Carne de Aves;338669;191886
2024;Coveite (Kuweit);Carne de Aves;335468;81090
2024;Cuba;Carne de Aves;331961;687500
2024;Rússia;Carne de Aves;325363;270000
2024;Moçambique;Carne de Aves;317103;583130
2024;Comores;Carne de Aves;316584;246950
2024;Suriname;Carne de Aves;314856;180378
2024;Geórgia;Carne de Aves;309342;175200
2024;México;Carne de Aves;305628;71771
2024;Comores;Carne de Aves;303829;185251
2024;Argentina;Carne de Aves;301357;115020
2024;Curaçao;Carne de Aves;298780;159493
2024;Guiné Equatorial;Carne de Aves;296847;255480
2024;Moçambique;Carne de Aves;296014;215040
2024;Gabão;Carne de Aves;289561;240510
2024;Congo;Outras Carnes e Miudezas;286764;406024
2024;Somália;Carne de Aves;278543;145811
2024;Geórgia;Outras Carnes e Miudezas;277328;437539
2024;Chile;Carne de Aves;275718;503840
2024;Guiné;Carne de Aves;274216;443478
2024;Emirados Árabes Unidos;Carne de Aves;274145;803720
2024;Camboja;Carne de Aves;272790;335670
2024;Djibuti;Carne de Aves;270972;176556
2024;Laos;Carne de Aves;268804;328530
2024;Angola;Carne de Aves;267196;93012
2024;República Dominicana;Carne de Aves;264054;108000
2024;África do Sul;Carne de Aves;262147;152865
2024;Uruguai;Outras Carnes e Miudezas;260835;43947
2024;Haiti;Outras Carnes e Miudezas;256055;389487
2024;Países Baixos (Holanda);Carne de Aves;253654;488970
2024;Tanzânia;Carne de Aves;251833;144820
2024;Namíbia;Carne de Aves;251607;484668
2024;Guiné Equatorial;Outras Carnes e Miudezas;248628;323030
2024;Albânia;Carne de Aves;247291;129693
2024;Romênia;Carne de Aves;242020;484215
2024;Congo, República Democrática;Carne de Aves;240313;149190
2024;República Dominicana;Carne de Aves;234750;81000
